PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Gen	Inac	Phen	V14
A019	19.3956635453602	-6.02627502627961	-1.46226148558762	-40.4518290124139	-33.8921385283102	23.1355945290656	-15.8156827550246	-1.15201014289208	0.284135422831655	7.33305370513126	S1	untrt	Sus	S1+untrt
A020	6.10718871787813	-22.8450355185929	16.9976478986962	-31.158527836437	10.9934781967152	-4.1074213658659	-16.6410055634767	-1.13520713791987	6.07527399511432	-8.12108082164871	S1	untrt	Sus	S1+untrt
A021	8.11936509738815	-22.0415206875196	9.31269671934245	-33.0593801229401	-10.5759727933032	3.41395374061541	-9.13014974722181	8.83053665066774	-8.92319697369528	-1.8148273913116	S1	untrt	Sus	S1+untrt
A025	8.84273880288736	-7.54769694290396	-41.0592843331014	7.62162711984919	-28.383203891761	1.61695135468453	-16.6075500576432	-17.4090313780769	-4.47816059104415	-8.53851591340192	S2	untrt	Sus	S2+untrt
A026	15.3965093000117	-25.3403643023801	-27.3558055327985	17.3476187292342	3.44444763329679	-4.57085104392674	1.28773283905953	-11.0082133520045	-4.38571671429001	-7.33437876155936	S2	untrt	Sus	S2+untrt
A027	11.9834451843501	-29.4870898067934	-18.3057612603819	18.4804753670124	10.7045339843778	-7.52944306455372	16.9649091932874	-22.9830410707999	-11.1407686000787	3.73270661461797	S2	untrt	Sus	S2+untrt
A028	-22.2539566970946	6.35955502123875	-2.28960099158084	2.97836182567354	5.77905665990966	37.1675253658706	18.2854116028336	-9.39265352302841	3.33286500864799	-9.04941801286181	R1	untrt	Res	R1+untrt
A029	-73	10	-9.08708455877139	-0.437469232147896	-0.809693070612175	-9.03162295697846	-4.27207137891153	-8.83879027499239	0.814354259448667	8.4402202442211	R1	trt	Res	R1+trt
A030	-17.2494115038988	5.40839455524234	-5.89022329713983	1.29358744606829	25.945446579704	34.2810318504453	-5.48416086857165	3.22502581064207	8.88055544707702	-0.32548098429664	R1	untrt	Res	R1+untrt
A031	16.2790587967768	7.4723351502199	28.6436516973552	26.0157838694293	1.37748617900858	5.63868905587158	-27.1420031446593	-2.75385456377348	-2.64587708782015	4.55935450582201	R2	untrt	Res	R2+untrt
A032	12.96571963718	2.00838023364833	34.7158280194084	26.7151899790188	13.884468128494	-0.217441795011543	-25.5981410718359	-7.25243177870868	-1.71768156019398	3.23870212184709	R2	untrt	Res	R2+untrt
A033	10.2758168742955	1.48096947961802	36.9548146964045	29.4444839246132	2.53356795499538	-0.735767527851557	0.707339969364339	-3.99296652396958	-8.68388379055209	4.02688986670474	R2	untrt	Res	R2+untrt
A034	14.3841377538383	37.9653877810517	-12.6527727440894	-12.4235944742944	8.85600445230943	-14.5609960469434	-10.3148759581593	-7.82668329323805	15.5262005524267	5.63781851260053	R3	untrt	Res	R3+untrt
A035	29.3040858285837	36.9051823151592	-8.40187413795248	-11.4251464772937	1.15215911272388	1.84999813992648	13.3937727864681	-7.57714547537631	-1.84977554835477	12.3237720566824	R3	untrt	Res	R3+untrt
A036	30.7678144570289	40.7323555571841	-10.1638755206551	-12.7396523396573	-7.01044323388884	5.91319644718658	13.1846130940483	-1.76618512080847	-8.32537022680627	4.31289174017792	R3	untrt	Res	R3+untrt
